"Номер анкеты";"Форма собственности";"Название предприятия";"Подчиненность вышестоящей организации";"Представительство страны";"Почтовый адрес";"Руководитель";"Телефон";"Факс";"E_Mail";"Адрес INTERNET";"Год основания";"Количество койко-мест";"Почтовый индекс";"Дополнительные услуги и продукция";"Основная продукция и услуги";"Направление деятельности"
"0008595";"муниципальная";"ДЕМЯНСКАЯ ЦЕНТРАЛЬНАЯ РАЙОННАЯ БОЛЬНИЦА";"";"";"175310, Россия, Новгородская обл., п. Демянск, Больничный городок, 17, корп. 4";"";"(81651) 4-21-03, 4-23-34";"(81651) 4-21-03";"crbdem@novgorod.net";"";"1943";"";"175310";"";"многопрофильное медицинское обслуживание; ";""
"0033531";"частная";"""ДЕНТ-МАСТЕР"" ООО";"";"";"163045, Россия, г. Архангельск, Троицкий просп., 158";"Рагимова Ирина Петровна";"(8182) 24-15-20, 65-55-01";"(8182) 24-15-20";"lotos@atkmet.ru";"www.dent-master.ru";"2006";"";"163045";"";"лечение стоматологических заболеваний; ";""
"0002066";"акционерная";"""ДЕНТА"" ОАО";"";"";"183038, Россия, г. Мурманск, ул. Коммуны, 20";"Пономаренко Ольга Николаевна";"(8152) 47-24-72, 47-40-00, 47-43-63, 47-33-60";"(8152) 47-24-72";"";"";"2001";"";"183038";"";"лечение стоматологических заболеваний; протезирование зубов; ";""
"0033540";"частная";"""ДЕНТА"" ООО";"";"";"164504, Россия, Архангельская обл., г. Северодвинск, ул. Индустриальная, 62";"Панков Сергей Юрьевич";"(8184) 58-16-35";"(8184) 58-16-35";"denta-severodvinsk@yandex.ru";"";"1997";"";"164504";"";"лечение стоматологических заболеваний; ";""
"0033527";"частная";"""ДЕНТА-ЛЮКС"" ООО";"";"";"163000, Россия, г. Архангельск, ул. К.Либкнехта, 17, корп. 1";"Ефремова Наталия Александровна";"(8182) 65-18-74";"(8182) 65-18-74";"";"";"1995";"";"163000";"";"лечение стоматологических заболеваний; ";""
"0004960";"частная";"""ДЕНТА-МЕД"" ООО";"";"";"196135, Россия, г. Санкт-Петербург, ул. Авиационная, 18";"Гончаренко Елена Ивановна";"(812) 373-00-70, 373-68-71";"(812) 371-64-57";"info@denta-med.spb.ru";"www.denta-med.spb.ru";"1991";"";"196135";"";"лечение стоматологических заболеваний; протезирование зубов; хирургическая стоматология; ";""
"0033452";"частная";"""ДЕНТА-ПЛЮС"" ООО";"";"";"185031, Республика Карелия, г. Петрозаводск, Октябрьский просп., 5";"Чачхиани Гоча Гурамович";"(8142) 74-15-79, 70-51-15";"(8142) 70-51-15";"dentaplus-karelia@omego.ru";"www.dentaplus-karelia.ru";"2002";"";"185031";"";"лечение стоматологических заболеваний; ";""
"0023156";"частная";"""ДЕНТА-ПЛЮС"" ФИРМА (ООО)";"";"";"185014, Республика Карелия, г. Петрозаводск, ул. Древлянка, 18";"Чачхиани Паата Гурамович";"(8142) 75-65-25, 70-51-15";"(8142) 70-51-15";"dentaplus@onego.ru";"www.dentaplus-karelia.ru";"2002";"";"185014";"";"лечение стоматологических заболеваний; хирургическая стоматология; протезирование зубов; ";""
"0021378";"акционерная";"""ДЕНТАЛ-КОМПЛЕКС СПб"" ООО";"";"";"191186, Россия, г. Санкт-Петербург, наб. канала Грибоедова, 5, офис 220";"Николаев Владимир Анатольевич";"(812) 315-55-48, 571-01-77";"(812) 710-64-60";"dcspb@mail.ru";"www.dcspb.ru";"2003";"";"191186";"";"лечение стоматологических заболеваний; протезирование зубов; ";""
"0037524";"частная";"""ДЕНТАЛ-СВ"" ООО";"";"";"160000, Россия, г. Вологда, ул. Зосимовская, 70";"";"(8172) 79-21-61";"";"";"";"";"";"160000";"";"лечение стоматологических заболеваний; ";""
"0046966";"частная";"""ДЕНТАЛ-СПА"" ООО";"";"";"198255, Россия, г. Санкт-Петербург, ул. Л.Голикова, 96, лит. А, офис 9Н";"";"(812) 758-84-57, 758-62-60";"(812) 758-84-57";"bivni2009@yandex.ru";"";"";"";"198255";"";"лечение стоматологических заболеваний; ";""
"0038072";"информация не предоставлена";"""ДЕНТЕКС"" СТОМАТОЛОГИЧЕСКАЯ ФИРМА";"";"";"164142, Россия, Архангельская обл., г. Каргополь, ул. Ленина, 63";"";"(81841) 2-13-67";"";"";"";"";"";"164142";"";"лечение стоматологических заболеваний; ";""
"0042059";"частная";"""ДЕНТЕС"" СТОМАТОЛОГИЧЕСКИЙ ЦЕНТР (ООО)";"";"";"180024, Россия, г. Псков, ул. Юбилейная, 62";"Панькив Сергей Владимирович";"(8112) 55-56-06";"(8112) 55-56-06";"mbox@dentes.ru";"www.dentes.ru";"";"";"180024";"";"лечение стоматологических заболеваний; ";""
"0004868";"частная";"""ДЕНТИДЕАЛ"" ОРТОДОНТИЧЕСКИЙ ЦЕНТР (ООО)";"";"";"191123, Россия, г. Санкт-Петербург, ул. Кирочная, 48";"Шулькина Наталья Михайловна";"(812) 273-02-90";"(812) 275-83-70";"";"www.dentideal.ru";"1993";"";"191123";"";"лечение стоматологических заболеваний; протезирование зубов; исправление прикуса; отбеливание зубов; лечение ортодонтоза; ";""
"0037563";"частная";"""ДЕНТОС"" ООО";"";"";"160000, Россия, г. Вологда, ул. Путейская, 14, офис 232";"";"(8172) 79-32-33";"";"";"";"";"";"160000";"";"лечение стоматологических заболеваний; ";""
"0028440";"частная";"""ДЕНТУР"" СТОМАТОЛОГИЧЕСКИЙ ЦЕНТР (ООО)";"";"";"236040, Россия, г. Калининград, ул. Лейтенанта Яналова, 42";"Тур Ольга Олеговна";"(4012) 95-20-88";"(4012) 95-20-88";"";"";"2003";"";"236040";"";"лечение стоматологических заболеваний; протезирование зубов; ";""
"0038080";"частная";"""ДЕРКАЧ А.Э."" ЧАСТНОЕ ПРЕДПРИЯТИЕ";"";"";"164500, Россия, Архангельская обл., г. Северодвинск, Архангельское шоссе, 48, Поликлиника №2, офис 50";"";"(81842) 1-90-83";"";"";"";"";"";"164500";"";"диагностика и лечение; ";""
"0033511";"частная";"""ДЕТCКИЙ ДОКТОР"" ООО";"";"";"163071, Россия, г. Архангельск, ул. Тимме, 17, корп. 2";"Самодов Валерий Анатольевич";"(8182) 21-35-55";"(8182) 21-35-55";"";"";"2000";"";"163071";"";"многопрофильное медицинское обслуживание; лечение педиатрических заболеваний; ";""
"0000905";"государственная";"ДЕТСКАЯ ГОРОДСКАЯ БОЛЬНИЦА №1";"";"";"198205, Россия, г. Санкт-Петербург, ул. Авангардная, 14";"Каган Анатолий Владимирович";"(812) 735-12-07, 735-36-76, 735-92-00, 735-97-36, 735-16-91";"(812) 735-99-98";"child@dgb.spb.ru; db1@zdrav.spb.ru";"www.dgb.spb.ru";"1976";"600";"198205";"";"многопрофильное медицинское обслуживание; лечение педиатрических заболеваний; медицинское обслуживание новорожденных; ";""
"0037197";"информация не предоставлена";"ДЕТСКАЯ ГОРОДСКАЯ БОЛЬНИЦА №1";"";"";"236040, Россия, г. Калининград, ул. Горького, 65";"";"(4012) 27-53-14";"";"";"";"";"";"236040";"";"многопрофильное медицинское обслуживание; ";""
"0000911";"субъектов федерации";"ДЕТСКАЯ ГОРОДСКАЯ БОЛЬНИЦА №17 СВЯТИТЕЛЯ НИКОЛАЯ ЧУДОТВОРЦА";"";"";"190068, Россия, г. Санкт-Петербург, ул. Глинки, 4, лит. А, лит. В";"Левиз Владимир Валентинович";"(812) 714-45-73, 714-22-51";"(812) 714-08-37";"dgb17@zdrav.spb.ru";"";"1991";"150";"190068";"";"медицинское обслуживание новорожденных; лечение педиатрических заболеваний; ";""
"0000914";"государственная";"ДЕТСКАЯ ГОРОДСКАЯ БОЛЬНИЦА №19 им. К.А.РАУХФУСА";"";"";"191036, Россия, г. Санкт-Петербург, Лиговский просп., 8";"Зеленкевич Маргарита Александровна";"(812) 717-21-62, 717-55-58";"(812) 717-55-58";"db19@zdrav.spb.ru";"";"1870";"420";"191036";"";"многопрофильное медицинское обслуживание; лечение педиатрических заболеваний; ";""
"0000918";"государственная";"ДЕТСКАЯ ГОРОДСКАЯ БОЛЬНИЦА №2 СВЯТОЙ МАРИИ МАГДАЛИНЫ";"";"";"199053, Россия, г. Санкт-Петербург, Васильевский о-в, 2-я линия, 47";"Микава Автандил Георгиевич";"(812) 323-29-29, 670-25-60";"(812) 328-48-72";"info@mm2.ru; db2@zalrav.spb.ru";"www.mm2.ru";"1870";"360";"199053";"";"многопрофильное медицинское обслуживание; лечение педиатрических заболеваний; ";""
"0007491";"муниципальная";"ДЕТСКАЯ ГОРОДСКАЯ БОЛЬНИЦА №2";"";"";"236000, Россия, г. Калининград, ул. Космонавта Леонова, 13-а";"Медведева Вера Сергеевна";"(4012) 27-31-66, 21-84-25";"";"";"";"1961";"";"236000";"";"медицинское обслуживание новорожденных; многопрофильное медицинское обслуживание; ";""
"0000916";"государственная";"ДЕТСКАЯ ГОРОДСКАЯ БОЛЬНИЦА №22";"";"";"196657, Россия, г. Санкт-Петербург, Колпино, Заводской просп., 1";"Мельникова Галина Сергеевна";"(812) 463-09-17, 482-69-96, 481-70-97, 482-05-11";"(812) 463-09-17";"db22@zdrav.spb.ru";"";"1949";"315";"196657";"";"многопрофильное медицинское обслуживание; лечение педиатрических заболеваний; ";""
"0007490";"муниципальная";"ДЕТСКАЯ ГОРОДСКАЯ БОЛЬНИЦА №3";"";"";"236010, Россия, г. Калининград, ул. Огарева, 18";"Криницкая Оксана Ивановна";"(4012) 22-86-97, 21-66-88, 21-67-67";"";"";"";"1951";"";"236010";"";"многопрофильное медицинское обслуживание; медицинское обслуживание новорожденных; ";""
"0000907";"государственная";"ДЕТСКАЯ ГОРОДСКАЯ БОЛЬНИЦА СВЯТОЙ ОЛЬГИ";"";"";"194156, Россия, г. Санкт-Петербург, ул. Земледельческая, 2";"Детков Вячеслав Юрьевич";"(812) 295-50-00, 295-47-11";"(812) 295-50-00, 295-69-98";"db4@zdrav.spb.ru";"";"1952";"340";"194156";"";"многопрофильное медицинское обслуживание; лечение педиатрических заболеваний; ";""
"0037471";"информация не предоставлена";"ДЕТСКАЯ ГОРОДСКАЯ БОЛЬНИЦА";"";"";"162270, Россия, Вологодская обл., г. Сокол, ул. Суворова, 21";"";"(81733) 2-36-68";"";"";"";"";"";"162270";"";"многопрофильное медицинское обслуживание; ";""
"0018740";"государственная";"ДЕТСКАЯ ГОРОДСКАЯ КЛИНИЧЕСКАЯ БОЛЬНИЦА №5 им. Н.Ф.ФИЛАТОВА";"КОМИТЕТ ЗДРАВООХРАНЕНИЯ МЭРИИ г. САНКТ-ПЕТЕРБУРГА";"";"192289, Россия, г. Санкт-Петербург, ул. Бухарестская, 134";"Голышев Александр Яковлевич";"(812) 776-18-18, 400-04-10";"(812) 776-18-18";"db5@zdrav.spb.ru";"www.db5.ru";"1996";"600";"192289";"";"лечение педиатрических заболеваний; лечение инфекционных заболеваний; ";""
"0017005";"муниципальная";"ДЕТСКАЯ ГОРОДСКАЯ ПОЛИКЛИНИКА №1";"";"";"180017, Россия, г. Псков, ул. Кузнецкая, 21";"";"(8112) 66-42-55, 66-28-07";"(8112) 66-42-55";"detpol1@bk.ru";"";"";"";"180017";"";"многопрофильное медицинское обслуживание; лечение педиатрических заболеваний; ";""
"0001117";"государственная";"ДЕТСКАЯ ГОРОДСКАЯ ПОЛИКЛИНИКА №11";"";"";"194021, Россия, г. Санкт-Петербург, просп. Пархоменко, 30";"Трифонова Надежда Анатольевна";"(812) 550-24-80, 552-99-33";"(812) 550-24-80";"pd11@zdrav.spb.ru";"";"1963";"";"194021";"";"многопрофильное медицинское обслуживание; лечение педиатрических заболеваний; ";""
"0001122";"государственная";"ДЕТСКАЯ ГОРОДСКАЯ ПОЛИКЛИНИКА №17";"";"";"194358, Россия, г. Санкт-Петербург, ул. Есенина, 38, корп. 2, лит. А";"Корнилова Эльмира Григорьевна";"(812) 597-84-35";"(812) 598-84-36";"pd17@zdrav.spb.ru";"";"1977";"";"194358";"";"многопрофильное медицинское обслуживание; лечение педиатрических заболеваний; ";""
"0001124";"государственная";"ДЕТСКАЯ ГОРОДСКАЯ ПОЛИКЛИНИКА №19";"";"";"197046, Россия, г. Санкт-Петербург, ул. Куйбышева, 25";"Щербина Альбина Николаевна";"(812) 233-51-14, 233-50-14, 233-16-52, 230-83-06, 230-84-51";"(812) 233-51-14, 233-11-94";"pd19@zdrav.spb.ru";"";"1943";"";"197046";"";"многопрофильное медицинское обслуживание; лечение педиатрических заболеваний; ";""
"0017006";"муниципальная";"ДЕТСКАЯ ГОРОДСКАЯ ПОЛИКЛИНИКА №2";"";"";"180007, Россия, г. Псков, ул. Петровская, 49";"";"(8112) 57-73-80";"(8112) 57-73-80";"pd2pskov@mail.ru";"";"";"";"180007";"";"многопрофильное медицинское обслуживание; лечение педиатрических заболеваний; ";""
"0001134";"государственная";"ДЕТСКАЯ ГОРОДСКАЯ ПОЛИКЛИНИКА №29";"";"";"195274, Россия, г. Санкт-Петербург, ул. Д.Бедного, 18, корп. 3";"Щербакова Елена Геннадьевна";"(812) 559-07-21, 559-07-22";"(812) 559-07-21";"dp29dp29@yandex.ru";"dp29.spb.ru";"1974";"";"195274";"";"многопрофильное медицинское обслуживание; лечение педиатрических заболеваний; ";""
"0001140";"государственная";"ДЕТСКАЯ ГОРОДСКАЯ ПОЛИКЛИНИКА №35";"";"";"196191, Россия, г. Санкт-Петербург, Ленинский просп., 168, корп. 2";"Федорова Людмила Михайловна";"(812) 295-16-61";"(812) 295-16-10";"pd35@zdrav.spb.ru";"";"1963";"";"196191";"";"многопрофильное медицинское обслуживание; лечение педиатрических заболеваний; ";""
"0001148";"государственная";"ДЕТСКАЯ ГОРОДСКАЯ ПОЛИКЛИНИКА №44";"";"";"191144, Россия, г. Санкт-Петербург, ул. Мытнинская, 25, лит. А";"Шакун Елена Юрьевна";"(812) 271-13-74, 274-41-85, 274-45-09";"(812) 274-11-73";"pd44@zdrav.spb.ru";"dp44.spb.ru";"1987";"";"191144";"";"многопрофильное медицинское обслуживание; лечение педиатрических заболеваний; ";""
"0001149";"государственная";"ДЕТСКАЯ ГОРОДСКАЯ ПОЛИКЛИНИКА №45";"";"";"193312, Россия, г. Санкт-Петербург, Товарищеский просп., 10, корп. 3";"Новикова Марина Михайловна";"(812) 584-54-95, 584-54-93, 584-54-94";"(812) 580-86-08";"pd45@zdrav.spb.ru";"";"1974";"";"193312";"";"многопрофильное медицинское обслуживание; лечение педиатрических заболеваний; ";""
"0004758";"муниципальная";"ДЕТСКАЯ ГОРОДСКАЯ ПОЛИКЛИНИКА №49";"";"";"196601, Россия, г. Санкт-Петербург, Пушкин, Софийский бул., 28, лит. А";"Малышева Лариса Валерьевна";"(812) 466-43-56, 466-47-20, 466-46-81, 466-47-49";"(812) 466-46-81, 470-35-29, 466-43-72";"pd49@zdrav.spb.ru";"";"1965";"";"196601";"";"многопрофильное медицинское обслуживание; лечение педиатрических заболеваний; ";""
"0001153";"муниципальная";"ДЕТСКАЯ ГОРОДСКАЯ ПОЛИКЛИНИКА №51";"";"";"196657, Россия, г. Санкт-Петербург, Колпино, ул. Металлургов, 11, лит. А";"";"(812) 481-12-39";"(812) 481-12-34";"pd51@zdrav.spb.ru";"";"1979";"";"196657";"";"многопрофильное медицинское обслуживание; лечение педиатрических заболеваний; ";""
"0001163";"государственная";"ДЕТСКАЯ ГОРОДСКАЯ ПОЛИКЛИНИКА №62";"";"";"193318, Россия, г. Санкт-Петербург, Искровский просп., 8, лит. А";"Тимофеев Николай Сергеевич";"(812) 589-17-34, 589-10-18, 589-13-43";"(812) 589-17-34";"pd62@zdrav.spb.ru";"";"1979";"";"193318";"";"многопрофильное медицинское обслуживание; лечение педиатрических заболеваний; ";""
"0001164";"государственная";"ДЕТСКАЯ ГОРОДСКАЯ ПОЛИКЛИНИКА №63";"";"";"194358, Россия, г. Санкт-Петербург, ул. Симонова, 3";"Колганова Галина Михайловна";"(812) 515-51-84, 514-11-01, 514-09-50, 514-01-02";"(812) 515-51-84";"pd63@zdrav.spb.ru";"";"1980";"";"194358";"";"многопрофильное медицинское обслуживание; лечение педиатрических заболеваний; ";""
"0001168";"государственная";"ДЕТСКАЯ ГОРОДСКАЯ ПОЛИКЛИНИКА №67";"";"";"198510, Россия, г. Санкт-Петербург, Петергоф, ул. Аврова, 19";"Тюляева Наталья Григорьевна";"(812) 427-35-98, 427-39-62, 427-17-27";"(812) 427-25-50";"pd67@zdrav.spb.ru";"";"1978";"";"198510";"";"многопрофильное медицинское обслуживание; лечение педиатрических заболеваний; ";""
"0001169";"государственная";"ДЕТСКАЯ ГОРОДСКАЯ ПОЛИКЛИНИКА №68";"";"";"195426, Россия, г. Санкт-Петербург, просп. Наставников, 20, корп. 1";"Федорова Валентина Андреевна";"(812) 524-18-46, 524-18-47, 524-16-74";"(812) 524-16-74";"pd68@zdrav.spb.ru";"";"1986";"";"195426";"";"многопрофильное медицинское обслуживание; лечение педиатрических заболеваний; ";""
"0001113";"государственная";"ДЕТСКАЯ ГОРОДСКАЯ ПОЛИКЛИНИКА №7";"";"";"194291, Россия, г. Санкт-Петербург, ул. Кустодиева, 8";"Матесович Елена Болеславовна";"(812) 597-38-85";"(812) 597-38-85";"pd7@zdrav.spb.ru";"";"1976";"";"194291";"";"многопрофильное медицинское обслуживание; лечение педиатрических заболеваний; ";""
"0001171";"государственная";"ДЕТСКАЯ ГОРОДСКАЯ ПОЛИКЛИНИКА №71";"";"";"194354, Россия, г. Санкт-Петербург, просп. Ф.Энгельса, 117";"Савельева Татьяна Ивановна";"(812) 594-12-16, 594-10-89, 594-11-25";"(812) 594-12-16";"pd71@zdrav.spb.ru";"dp71.spb.ru";"1988";"";"194354";"";"многопрофильное медицинское обслуживание; лечение педиатрических заболеваний; ";""
"0001172";"государственная";"ДЕТСКАЯ ГОРОДСКАЯ ПОЛИКЛИНИКА №72";"";"";"198412, Россия, г. Санкт-Петербург, Ломоносов, ул. Красноармейская, 20";"";"(812) 423-09-89";"(812) 423-09-83";"pd72@zdrav.spb.ru";"";"1989";"";"198412";"";"многопрофильное медицинское обслуживание; лечение педиатрических заболеваний; ";""
"0001173";"государственная";"ДЕТСКАЯ ГОРОДСКАЯ ПОЛИКЛИНИКА №73";"";"";"192177, Россия, г. Санкт-Петербург, ул. Караваевская, 30";"Вовчик Татьяна Владимировна";"(812) 700-87-15, 700-40-28, 700-40-29, 700-79-61";"(812) 700-87-15";"pd73@zdrav.spb.ru";"";"1990";"";"192177";"";"многопрофильное медицинское обслуживание; лечение педиатрических заболеваний; ";""
"0001175";"государственная";"ДЕТСКАЯ ГОРОДСКАЯ ПОЛИКЛИНИКА №76";"";"";"195427, Россия, г. Санкт-Петербург, ул. Академика Байкова, 27";"Петрова Тамара Михайловна";"(812) 550-80-90, 550-80-58, 550-79-00, 550-78-33";"(812) 550-80-90";"pd76@zdrav.spb.ru";"";"1989";"";"195427";"";"многопрофильное медицинское обслуживание; лечение педиатрических заболеваний; ";""
"0001000";"государственная";"ДЕТСКАЯ ГОРОДСКАЯ ПОЛИКЛИНИКА №8";"";"";"191123, Россия, г. Санкт-Петербург, ул. Чайковского, 73";"Блашенкова Надежда Юрьевна";"(812) 273-26-19";"(812) 273-26-19";"pd8@zdrav.spb.ru";"";"1919";"120";"191123";"";"лечение педиатрических заболеваний; ";""
"0037064";"информация не предоставлена";"ДЕТСКАЯ ГОРОДСКАЯ ПОЛИКЛИНИКА";"";"";"238520, Россия, Калининградская обл., г. Балтийск, ул. Чехова, 7";"";"(40145) 2-59-31";"";"";"";"";"";"238520";"";"многопрофильное медицинское обслуживание; ";""
"0037116";"информация не предоставлена";"ДЕТСКАЯ ГОРОДСКАЯ ПОЛИКЛИНИКА";"";"";"238340, Россия, Калининградская обл., г. Светлый, ул. Молодежная, 12";"";"(40152) 2-16-16";"";"";"";"";"";"238340";"";"многопрофильное медицинское обслуживание; ";""
"0037176";"информация не предоставлена";"ДЕТСКАЯ ГОРОДСКАЯ ПОЛИКЛИНИКА";"";"";"238725, Россия, Калининградская обл., г. Советск, Калиниградское шоссе, 16";"";"(40161) 3-25-35";"";"";"";"";"";"238725";"";"многопрофильное медицинское обслуживание; ";""
"0046976";"государственная";"ДЕТСКАЯ ИНФЕКЦИОННАЯ БОЛЬНИЦА №3";"";"";"199026, Россия, г. Санкт-Петербург, Васильевский о-в, Большой просп., 77/17";"";"(812) 321-53-93";"(812) 321-30-32";"db3@zdrav.spb.ru";"";"";"";"199026";"";"лечение инфекционных заболеваний; ";""
"0007499";"муниципальная";"ДЕТСКАЯ ИНФЕКЦИОННАЯ БОЛЬНИЦА №4";"";"";"236005, Россия, г. Калининград, ул. Летняя, 3";"Ишанова Нина Федоровна";"(4012) 44-80-31, 44-77-93, 44-77-61";"";"";"";"1962";"";"236005";"";"диагностика и лечение; проведение санпрофилактических и противоэпидемических мероприятий; лечение инфекционных заболеваний; ";""
"0003369";"федеральная";"ДЕТСКАЯ КЛИНИКА ПАТОЛОГИИ ГОЛОСА и РЕЧИ";"НИИ УХА, ГОРЛА, НОСА и РЕЧИ";"";"190013, Россия, г. Санкт-Петербург, ул. Бронницкая, 9";"Смирнова Татьяна Ивановна";"(812) 316-20-07, 316-51-12, 575-49-47, 495-36-70";"(812) 316-55-10";"lor-obchestvo@bk.ru";"";"1930";"70";"190013";"";"лечение отоларингологических заболеваний; ";""
"0036839";"информация не предоставлена";"ДЕТСКАЯ КОНСУЛЬТАЦИЯ";"ЦЕНТРАЛЬНАЯ РАЙОННАЯ БОЛЬНИЦА";"";"181300, Россия, Псковская обл., г. Остров, ул. К.Маркса, 10";"";"(81152) 3-26-19";"";"";"";"";"";"181300";"";"диагностика и лечение; ";""
"0037225";"информация не предоставлена";"ДЕТСКАЯ КОНСУЛЬТАЦИЯ";"ЦЕНТРАЛЬНАЯ РАЙОННАЯ БОЛЬНИЦА";"";"238530, Россия, Калининградская обл., г. Зеленоградск, Курортный пер., 3";"";"(40150) 3-16-88";"";"";"";"";"";"238530";"";"медицинское обслуживание; ";""
"0037507";"информация не предоставлена";"ДЕТСКАЯ КОНСУЛЬТАЦИЯ";"ВОЛОГОДСКАЯ ЛИНЕЙНАЯ БОЛЬНИЦА";"";"160000, Россия, г. Вологда, ул. К.Маркса, 99";"";"(8172) 24-86-18";"";"";"";"";"";"160000";"";"диагностика и лечение; ";""
"0003488";"государственная";"ДЕТСКАЯ ПОЛИКЛИНИКА №1";"";"";"164500, Россия, Архангельская обл., г. Северодвинск, ул. Ломоносова, 49";"Григорьева Лидия Ивановна";"(81842) 2-89-29, 2-89-34";"";"";"";"";"";"164500";"";"диагностика и лечение; многопрофильное медицинское обслуживание; ";""
"0013160";"муниципальная";"ДЕТСКАЯ ПОЛИКЛИНИКА №1";"";"";"163071, Россия, г. Архангельск, пр. Приорова, 6";"";"(8182) 20-39-09, 64-63-36";"(8182) 20-39-09";"musdet16@atnet.ru";"";"";"";"163071";"";"многопрофильное медицинское обслуживание; лечение педиатрических заболеваний; ";""
"0013705";"муниципальная";"ДЕТСКАЯ ПОЛИКЛИНИКА №1";"КОМИТЕТ по ОХРАНЕ ЗДОРОВЬЯ НАСЕЛЕНИЯ";"";"173004, Россия, г. Великий Новгород, ул. Т.Фрунзе-Оловянка, 17/3";"";"(8162) 63-59-60, 63-18-00";"(8162) 63-69-82";"";"";"1953";"";"173004";"";"многопрофильное медицинское обслуживание; лечение педиатрических заболеваний; ";""
"0003490";"государственная";"ДЕТСКАЯ ПОЛИКЛИНИКА №2";"";"";"164500, Россия, Архангельская обл., г. Северодвинск, ул. Гагарина, 9";"Огаркова Надежда Федоровна";"(81842) 2-21-32, 2-42-82";"";"";"";"";"";"164500";"";"диагностика и лечение; многопрофильное медицинское обслуживание; ";""
"0013716";"муниципальная";"ДЕТСКАЯ ПОЛИКЛИНИКА №2";"";"";"173025, Россия, г. Великий Новгород, ул. Кочетова, 31";"";"(8162) 65-60-52, 66-99-29";"(8162) 65-60-52";"detskay2@mail.ru";"";"1973";"";"173025";"";"многопрофильное медицинское обслуживание; лечение педиатрических заболеваний; ";""
"0003491";"государственная";"ДЕТСКАЯ ПОЛИКЛИНИКА №3";"";"";"164500, Россия, Архангельская обл., г. Северодвинск, ул. Комсомольская, 41";"Красимов Станислав Васильевич";"(81842) 2-55-21";"";"";"";"";"";"164500";"";"диагностика и лечение; многопрофильное медицинское обслуживание; ";""
"0013709";"муниципальная";"ДЕТСКАЯ ПОЛИКЛИНИКА №3";"";"";"173002, Россия, г. Великий Новгород, ул. Германа, 21";"";"(8162) 77-21-17";"(8162) 77-50-75";"";"";"1994";"";"173002";"";"многопрофильное медицинское обслуживание; лечение педиатрических заболеваний; ";""
"0003492";"государственная";"ДЕТСКАЯ ПОЛИКЛИНИКА №4";"";"";"164500, Россия, Архангельская обл., г. Северодвинск, ул. Дзержинского, 16";"Квач Екатерина Владимировна";"(81842) 7-23-03, 7-82-10";"";"";"";"";"";"164500";"";"диагностика и лечение; многопрофильное медицинское обслуживание; ";""
"0003493";"государственная";"ДЕТСКАЯ ПОЛИКЛИНИКА №5";"";"";"164500, Россия, Архангельская обл., г. Северодвинск, ул. Ломоносова, 102";"Анисимова Татьяна Ивановна";"(81842) 3-22-89, 3-17-62";"";"";"";"";"";"164500";"";"диагностика и лечение; многопрофильное медицинское обслуживание; ";""
"0007501";"муниципальная";"ДЕТСКАЯ ПОЛИКЛИНИКА №6";"";"";"236029, Россия, г. Калининград, ул. Горького, 203-а";"Мишина Людмила Георгиевна";"(4012) 21-99-86, 21-99-80";"";"";"";"1954";"";"236029";"";"диагностика и лечение; многопрофильное медицинское обслуживание; медицинское обслуживание новорожденных; ";""
"0021361";"муниципальная";"ДЕТСКАЯ ПОЛИКЛИНИКА";"";"";"188350, Россия, Ленинградская обл., г. Гатчина, ул. Хохлова, 3";"";"(81371) 3-23-15";"";"";"";"";"";"188350";"";"услуги лечебных медицинских учреждений и больниц; ";""
"0022359";"информация не предоставлена";"ДЕТСКАЯ ПОЛИКЛИНИКА";"";"";"238150, Россия, Калининградская обл., г. Черняховск, ул. Комсомольская, 19";"";"(40141) 3-22-70";"";"";"";"";"";"238150";"";"многопрофильное медицинское обслуживание; ";""
"0027847";"муниципальная";"ДЕТСКАЯ ПОЛИКЛИНИКА";"";"";"188410, Россия, Ленинградская обл., п. Волосово, ул. Краснофлотская, 1";"";"(81373) 2-24-77";"";"";"";"";"";"188410";"";"многопрофильное медицинское обслуживание; ";""
"0027908";"муниципальная";"ДЕТСКАЯ ПОЛИКЛИНИКА";"";"";"187110, Россия, Ленинградская обл., г. Кириши, ул. Советская, 4";"";"(81368) 2-32-52";"";"";"";"";"";"187110";"";"многопрофильное медицинское обслуживание; ";""
"0027918";"муниципальная";"ДЕТСКАЯ ПОЛИКЛИНИКА";"";"";"187710, Россия, Ленинградская обл., г. Лодейное Поле, просп. Гагарина, 1";"";"(81364) 2-27-69";"";"";"";"";"";"187710";"";"многопрофильное медицинское обслуживание; ";""
"0027945";"муниципальная";"ДЕТСКАЯ ПОЛИКЛИНИКА";"";"";"188751, Россия, Ленинградская обл., г. Приозерск, ул. Калинина, 35";"";"(81379) 2-17-31";"";"";"";"";"";"188751";"";"многопрофильное медицинское обслуживание; ";""
"0027950";"муниципальная";"ДЕТСКАЯ ПОЛИКЛИНИКА";"";"";"188540, Россия, Ленинградская обл., г. Сланцы, ул. Гагарина, 2-а";"";"(81374) 2-19-36";"";"";"";"";"";"188540";"";"многопрофильное медицинское обслуживание; ";""
"0037543";"информация не предоставлена";"ДЕТСКАЯ ПОЛИКЛИНИКА";"";"";"162270, Россия, Вологодская обл., г. Сокол, ул. Суворова, 21";"";"(81733) 2-15-49";"";"";"";"";"";"162270";"";"многопрофильное медицинское обслуживание; ";""
